SH, 16, 2010022012,   , BEST,   0, 194S,  615E,  80,  963, HU,  64, NEQ,   25,   30,   30,   25, 1005,  140,  15,   0,   0,   S,   0,    ,   0,   0,     GELANE, D, 
SH, 16, 2010022018,   , BEST,   0, 200S,  616E,  65,  974, HU,  34, NEQ,   55,   80,   80,   70, 1006,  150,  20,   0,   0,   S,   0,    ,   0,   0,     GELANE, M, 
SH, 16, 2010022018,   , BEST,   0, 200S,  616E,  65,  974, HU,  50, NEQ,   25,   35,   40,   35, 1006,  150,  20,   0,   0,   S,   0,    ,   0,   0,     GELANE, M, 
SH, 16, 2010022100,   , BEST,   0, 207S,  619E,  50,  985, TS,  34, NEQ,   60,   75,   80,   55, 1006,  155,  25,   0,   0,   S,   0,    ,   0,   0,     GELANE, M, 
SH, 16, 2010022106,   , BEST,   0, 212S,  620E,  40,  993, TS,  34, NEQ,   40,   40,   40,   40, 1006,  155,  25,   0,   0,   S,   0,    ,   0,   0,     GELANE, S, 
SH, 16, 2010022112,   , BEST,   0, 207S,  613E,  35,  996, TS,  34, NEQ,   40,   40,   40,   40, 1006,  155,  25,   0,   0,   S,   0,    ,   0,   0,     GELANE, S, 
SH, 16, 2010022118,   , BEST,   0, 202S,  605E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1005,  120,  20,   0,   0,   S,   0,    ,   0,   0,     GELANE, S, 
SH, 16, 2010022200,   , BEST,   0, 200S,  602E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 
SH, 16, 2010022206,   , BEST,   0, 203S,  601E,  20, 1007, TD,   0,    ,    0,    0,    0,    0, 
SH, 16, 2010022212,   , BEST,   0, 211S,  601E,  20, 1007, TD,   0,    ,    0,    0,    0,    0, 
