EP, 13, 2014082412,   , BEST,   0, 160N, 1108W, 130,  929, HU,  50, NEQ,   90,   90,   60,   60, 1008,  400,  15, 160,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  360,  360,  240,  240, 
EP, 13, 2014082412,   , BEST,   0, 160N, 1108W, 130,  929, HU,  64, NEQ,   40,   30,   20,   30, 1008,  400,  15, 160,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  360,  360,  240,  240, 
EP, 13, 2014082418,   , BEST,   0, 159N, 1119W, 140,  918, HU,  34, NEQ,  240,  240,  150,  150, 1009,  360,  15, 170,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  420,  360,  240,  240, 
EP, 13, 2014082418,   , BEST,   0, 159N, 1119W, 140,  918, HU,  50, NEQ,   90,   90,   70,   90, 1009,  360,  15, 170,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  420,  360,  240,  240, 
EP, 13, 2014082418,   , BEST,   0, 159N, 1119W, 140,  918, HU,  64, NEQ,   50,   40,   30,   40, 1009,  360,  15, 170,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  420,  360,  240,  240, 
EP, 13, 2014082500,   , BEST,   0, 163N, 1125W, 135,  922, HU,  34, NEQ,  240,  240,  150,  150, 1009,  380,  15, 165,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  510,  390,  270,  300, 
EP, 13, 2014082500,   , BEST,   0, 163N, 1125W, 135,  922, HU,  50, NEQ,   90,   90,   70,   90, 1009,  380,  15, 165,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  510,  390,  270,  300, 
EP, 13, 2014082500,   , BEST,   0, 163N, 1125W, 135,  922, HU,  64, NEQ,   50,   40,   30,   40, 1009,  380,  15, 165,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  510,  390,  270,  300, 
EP, 13, 2014082506,   , BEST,   0, 169N, 1134W, 130,  927, HU,  34, NEQ,  250,  270,  150,  150, 1009,  380,  15, 150,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  540,  390,  300,  330, 
EP, 13, 2014082506,   , BEST,   0, 169N, 1134W, 130,  927, HU,  50, NEQ,   90,  100,   70,   90, 1009,  380,  15, 150,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  540,  390,  300,  330, 
