EP, 05, 2023080412,   , BEST,   0, 140N, 1261W, 105,  957, HU,  34, NEQ,   40,   40,   30,   40, 1010,  110,   5, 130,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  120,   75,   60,   90, 
EP, 05, 2023080412,   , BEST,   0, 140N, 1261W, 105,  957, HU,  50, NEQ,   25,   15,   15,   25, 1010,  110,   5, 130,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  120,   75,   60,   90, 
EP, 05, 2023080412,   , BEST,   0, 140N, 1261W, 105,  957, HU,  64, NEQ,   15,   10,   10,   15, 1010,  110,   5, 130,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  120,   75,   60,   90, 
EP, 05, 2023080418,   , BEST,   0, 138N, 1277W, 100,  957, HU,  34, NEQ,   40,   40,   30,   40, 1010,  110,   5, 120,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  120,   75,   60,   90, 
EP, 05, 2023080418,   , BEST,   0, 138N, 1277W, 100,  957, HU,  50, NEQ,   25,   15,   15,   25, 1010,  110,   5, 120,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  120,   75,   60,   90, 
EP, 05, 2023080418,   , BEST,   0, 138N, 1277W, 100,  957, HU,  64, NEQ,   15,   10,   10,   15, 1010,  110,   5, 120,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  120,   75,   60,   90, 
EP, 05, 2023080500,   , BEST,   0, 137N, 1293W,  90,  972, HU,  34, NEQ,   40,   40,   30,   40, 1009,  110,   5, 110,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  120,   75,   60,   90, 
EP, 05, 2023080500,   , BEST,   0, 137N, 1293W,  90,  972, HU,  50, NEQ,   25,   20,   15,   25, 1009,  110,   5, 110,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  120,   75,   60,   90, 
EP, 05, 2023080500,   , BEST,   0, 137N, 1293W,  90,  972, HU,  64, NEQ,   15,   10,   10,   15, 1009,  110,   5, 110,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  120,   75,   60,   90, 
EP, 05, 2023080506,   , BEST,   0, 135N, 1308W,  90,  972, HU,  34, NEQ,   40,   40,   30,   40, 1009,  110,   5, 110,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  120,   60,   45,   90, 
EP, 05, 2023080506,   , BEST,   0, 135N, 1308W,  90,  972, HU,  50, NEQ,   25,   20,   15,   25, 1009,  110,   5, 110,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  120,   60,   45,   90, 
EP, 05, 2023080506,   , BEST,   0, 135N, 1308W,  90,  972, HU,  64, NEQ,   15,   10,   10,   15, 1009,  110,   5, 110,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  120,   60,   45,   90, 
EP, 05, 2023080512,   , BEST,   0, 134N, 1325W,  95,  967, HU,  34, NEQ,   40,   40,   30,   40, 1009,  110,   5, 115,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,   90,   60,   60,   90, 
EP, 05, 2023080512,   , BEST,   0, 134N, 1325W,  95,  967, HU,  50, NEQ,   25,   20,   15,   25, 1009,  110,   5, 115,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,   90,   60,   60,   90, 
EP, 05, 2023080512,   , BEST,   0, 134N, 1325W,  95,  967, HU,  64, NEQ,   15,   10,   10,   15, 1009,  110,   5, 115,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,   90,   60,   60,   90, 
EP, 05, 2023080518,   , BEST,   0, 133N, 1340W, 115,  950, HU,  34, NEQ,   40,   40,   30,   40, 1009,  110,   5, 140,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,   90,   60,   60,   90, 
EP, 05, 2023080518,   , BEST,   0, 133N, 1340W, 115,  950, HU,  50, NEQ,   30,   20,   15,   30, 1009,  110,   5, 140,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,   90,   60,   60,   90, 
EP, 05, 2023080518,   , BEST,   0, 133N, 1340W, 115,  950, HU,  64, NEQ,   20,   10,   10,   20, 1009,  110,   5, 140,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,   90,   60,   60,   90, 
EP, 05, 2023080600,   , BEST,   0, 132N, 1356W, 130,  939, HU,  34, NEQ,   50,   40,   30,   40, 1009,  110,  10, 150,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,   90,   60,   60,   90, 
EP, 05, 2023080600,   , BEST,   0, 132N, 1356W, 130,  939, HU,  50, NEQ,   30,   20,   15,   30, 1009,  110,  10, 150,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,   90,   60,   60,   90, 
EP, 05, 2023080600,   , BEST,   0, 132N, 1356W, 130,  939, HU,  64, NEQ,   20,   10,   10,   20, 1009,  110,  10, 150,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,   90,   60,   60,   90, 
EP, 05, 2023080606,   , BEST,   0, 131N, 1374W, 130,  939, HU,  34, NEQ,   50,   40,   30,   40, 1009,  110,  10, 150,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  120,   60,   45,   90, 
EP, 05, 2023080606,   , BEST,   0, 131N, 1374W, 130,  939, HU,  50, NEQ,   30,   20,   15,   30, 1009,  110,  10, 150,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  120,   60,   45,   90, 
EP, 05, 2023080606,   , BEST,   0, 131N, 1374W, 130,  939, HU,  64, NEQ,   20,   10,   10,   20, 1009,  110,  10, 150,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  120,   60,   45,   90, 
EP, 05, 2023080612,   , BEST,   0, 130N, 1392W, 125,  943, HU,  34, NEQ,   50,   40,   40,   40, 1009,  110,  10, 145,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  180,   90,   45,  120, 
EP, 05, 2023080612,   , BEST,   0, 130N, 1392W, 125,  943, HU,  50, NEQ,   30,   20,   20,   30, 1009,  110,  10, 145,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  180,   90,   45,  120, 
EP, 05, 2023080612,   , BEST,   0, 130N, 1392W, 125,  943, HU,  64, NEQ,   20,   10,   10,   20, 1009,  110,  10, 145,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  180,   90,   45,  120, 
EP, 05, 2023080618,   , BEST,   0, 129N, 1412W, 120,  948, HU,  34, NEQ,   50,   40,   40,   40, 1009,  110,  10, 145,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  180,   90,   45,  120, 
EP, 05, 2023080618,   , BEST,   0, 129N, 1412W, 120,  948, HU,  50, NEQ,   30,   20,   20,   30, 1009,  110,  10, 145,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  180,   90,   45,  120, 
EP, 05, 2023080618,   , BEST,   0, 129N, 1412W, 120,  948, HU,  64, NEQ,   20,   10,   10,   20, 1009,  110,  10, 145,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  180,   90,   45,  120, 
EP, 05, 2023080700,   , BEST,   0, 127N, 1431W, 120,  948, HU,  34, NEQ,   60,   40,   40,   50, 1009,  110,  10, 145,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  180,   90,   45,  120, 
EP, 05, 2023080700,   , BEST,   0, 127N, 1431W, 120,  948, HU,  50, NEQ,   30,   20,   20,   30, 1009,  110,  10, 145,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  180,   90,   45,  120, 
EP, 05, 2023080700,   , BEST,   0, 127N, 1431W, 120,  948, HU,  64, NEQ,   20,   10,   10,   20, 1009,  110,  10, 145,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  180,   90,   45,  120, 
EP, 05, 2023080706,   , BEST,   0, 126N, 1452W, 120,  948, HU,  34, NEQ,   80,   45,   40,   70, 1010,  110,  10, 145,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  180,   90,   45,  120, 
EP, 05, 2023080706,   , BEST,   0, 126N, 1452W, 120,  948, HU,  50, NEQ,   30,   25,   20,   30, 1010,  110,  10, 145,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  180,   90,   45,  120, 
