SH, 99, 2013030412,   , BEST,   0, 220S, 1600E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 147,  19,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013030412,   , BEST,   0, 220S, 1600E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 144,  11,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013030418,   , BEST,   0, 191S, 1610E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X,  26,  14,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013030500,   , BEST,   0, 190S, 1623E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X,  36,  18,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013030506,   , BEST,   0, 192S, 1611E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 137,   1,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013032118,   , BEST,   0, 080S, 0805E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 270,   2,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013032200,   , BEST,   0, 080S, 0803E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 270,   2,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013032200,   , BEST,   0, 080S, 0803E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 180,   2,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013032206,   , BEST,   0, 077S, 0787E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 280,   9,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013032212,   , BEST,   0, 077S, 0782E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 278,  10,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013032218,   , BEST,   0, 077S, 0784E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 270,   2,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013032300,   , BEST,   0, 077S, 0785E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X,  90,   2,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013032306,   , BEST,   0, 082S, 0791E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 126,   4,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
