SH, 90, 2013020718,   , BEST,   0, 244S, 1547W,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 150,  15,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013020800,   , BEST,   0, 262S, 1532W,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 153,  22,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013020806,   , BEST,   0, 278S, 1516W,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 141,  22,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013022812,   , BEST,   0, 140S, 1620E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 124,   5,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013022818,   , BEST,   0, 141S, 1623E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 126,   4,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013030100,   , BEST,   0, 142S, 1627E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 106,   3,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013030106,   , BEST,   0, 162S, 1631E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 160,  11,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013030112,   , BEST,   0, 167S, 1632E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 169,  13,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013030118,   , BEST,   0, 174S, 1636E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 158,   6,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013030200,   , BEST,   0, 184S, 1661E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 122,  16,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013030206,   , BEST,   0, 189S, 1670E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 115,  18,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013030212,   , BEST,   0, 191S, 1669E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 133,   5,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013030218,   , BEST,   0, 198S, 1681E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 131,   7,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013032400,   , BEST,   0, 140S, 1340E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 270,   1,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013032418,   , BEST,   0, 141S, 1344E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 236,   5,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013032500,   , BEST,   0, 107S, 1335E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 344,  18,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013032506,   , BEST,   0, 120S, 1333E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 333,  12,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013032512,   , BEST,   0, 122S, 1335E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 180,   8,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013032518,   , BEST,   0, 122S, 1334E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 154,   1,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013032600,   , BEST,   0, 122S, 1333E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 270,   1,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013032606,   , BEST,   0, 122S, 1332E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 270,   1,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013032612,   , BEST,   0, 140S, 1339E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 162,  10,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013032618,   , BEST,   0, 129S, 1315E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 247,   9,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013032700,   , BEST,   0, 127S, 1312E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 296,  15,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013032706,   , BEST,   0, 131S, 1313E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 224,   1,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013032712,   , BEST,   0, 128S, 1311E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 224,   1,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013032712,   , BEST,   0, 128S, 1311E,  15, 1005, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 224,   1,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013032718,   , BEST,   0, 139S, 1310E,  15, 1005, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 200,   4,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013032800,   , BEST,   0, 139S, 1309E,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1006,  140,  45,   0,   0,   S,   0,   X, 270,   5,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013032806,   , BEST,   0, 138S, 1315E,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1006,  140,  45,   0,   0,   S,   0,   X, 295,   1,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013032812,   , BEST,   0, 141S, 1318E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  145,  45,   0,   0,   S,   0,   X, 110,   2,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013032812,   , BEST,   0, 136S, 1306E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  145,  45,   0,   0,   S,   0,   X, 280,   2,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013032818,   , BEST,   0, 143S, 1306E,  25, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1006,  145,  45,   0,   0,   S,   0,   X, 210,   3,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013032900,   , BEST,   0, 141S, 1310E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  140,  45,   0,   0,   S,   0,   X, 160,   3,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013032906,   , BEST,   0, 152S, 1318E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  140,  45,   0,   0,   S,   0,   X, 140,   6,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013032912,   , BEST,   0, 151S, 1320E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  140,  45,   0,   0,   S,   0,   X, 120,   5,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013032918,   , BEST,   0, 150S, 1322E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1005,  140,  40,   0,   0,   S,   0,   X, 120,   4,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013033000,   , BEST,   0, 147S, 1324E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1005,  150,  40,   0,   0,   S,   0,   X,  50,   3,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013033006,   , BEST,   0, 142S, 1323E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X,   7,   4,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013033012,   , BEST,   0, 133S, 1325E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X,   4,   7,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013033018,   , BEST,   0, 128S, 1324E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X,   4,   7,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
