SH, 95, 2013030800,   , BEST,   0, 096S, 0557E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X,  90,   4,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952013, JTWC, MT2C_TCVITALS, 
SH, 95, 2013030806,   , BEST,   0, 095S, 0566E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 349,   3,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952013, JTWC, MT2C_TCVITALS, 
SH, 95, 2013030812,   , BEST,   0, 097S, 0580E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X,  93,  11,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952013, JTWC, MT2C_TCVITALS, 
SH, 95, 2013030818,   , BEST,   0, 069S, 0521E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 300,  26,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952013, JTWC, MT2C_TCVITALS, 
SH, 95, 2013030900,   , BEST,   0, 070S, 0526E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 297,  30,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952013, JTWC, MT2C_TCVITALS, 
SH, 95, 2013030906,   , BEST,   0, 059S, 0522E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X,   6,   5,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952013, JTWC, MT2C_TCVITALS, 
SH, 95, 2013030912,   , BEST,   0, 066S, 0526E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X,   0,   2,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952013, JTWC, MT2C_TCVITALS, 
SH, 95, 2013030918,   , BEST,   0, 071S, 0498E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 243,  13,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952013, JTWC, MT2C_TCVITALS, 
SH, 95, 2013031000,   , BEST,   0, 070S, 0512E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 254,   7,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952013, JTWC, MT2C_TCVITALS, 
SH, 95, 2013031006,   , BEST,   0, 070S, 0522E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X,  88,  12,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952013, JTWC, MT2C_TCVITALS, 
SH, 95, 2013040318,   , BEST,   0, 100S, 0587E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 270,   7,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952013, JTWC, MT2C_TCVITALS, 
SH, 95, 2013040400,   , BEST,   0, 100S, 0580E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 270,   7,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952013, JTWC, MT2C_TCVITALS, 
SH, 95, 2013040406,   , BEST,   0, 100S, 0574E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 270,   6,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952013, JTWC, MT2C_TCVITALS, 
SH, 95, 2013040406,   , BEST,   0, 100S, 0574E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 270,   3,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952013, JTWC, MT2C_TCVITALS, 
SH, 95, 2013040412,   , BEST,   0, 100S, 0571E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 270,   4,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952013, JTWC, MT2C_TCVITALS, 
SH, 95, 2013040418,   , BEST,   0, 093S, 0555E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 290,  10,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952013, JTWC, MT2C_TCVITALS, 
SH, 95, 2013040500,   , BEST,   0, 093S, 0550E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 289,  11,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952013, JTWC, MT2C_TCVITALS, 
SH, 95, 2013040506,   , BEST,   0, 093S, 0545E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 270,   5,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952013, JTWC, MT2C_TCVITALS, 
