SH, 17, 2019030700,   , BEST,   0, 251S,  681E,  75,  966, HU,  50, NEQ,   80,  100,   90,   60, 1003,  195,  20,   0,   0,   S,   0,    ,   0,   0,      HALEH, D, 
SH, 17, 2019030700,   , BEST,   0, 251S,  681E,  75,  966, HU,  64, NEQ,   25,   40,   25,    0, 1003,  195,  20,   0,   0,   S,   0,    ,   0,   0,      HALEH, D, 
SH, 17, 2019030706,   , BEST,   0, 260S,  677E,  65,  974, HU,  34, NEQ,  180,  215,  185,  125, 1005,  200,  30,   0,   0,   S,   0,    ,   0,   0,      HALEH, D, 
SH, 17, 2019030706,   , BEST,   0, 260S,  677E,  65,  974, HU,  50, NEQ,   90,   80,   65,   55, 1005,  200,  30,   0,   0,   S,   0,    ,   0,   0,      HALEH, D, 
SH, 17, 2019030706,   , BEST,   0, 260S,  677E,  65,  974, HU,  64, NEQ,   55,   50,   40,   35, 1005,  200,  30,   0,   0,   S,   0,    ,   0,   0,      HALEH, D, 
SH, 17, 2019030712,   , BEST,   0, 270S,  673E,  60,  978, TS,  34, NEQ,  185,  210,  180,  115, 1003,  200,  30,   0,   0,   S,   0,    ,   0,   0,      HALEH, D, 
SH, 17, 2019030712,   , BEST,   0, 270S,  673E,  60,  978, TS,  50, NEQ,   85,   75,   60,   55, 1003,  200,  30,   0,   0,   S,   0,    ,   0,   0,      HALEH, D, 
SH, 17, 2019030718,   , BEST,   0, 283S,  669E,  55,  982, TS,  34, NEQ,  160,  250,  225,  110, 1006,  230,  40,   0,   0,   S,   0,    ,   0,   0,      HALEH, D, 
SH, 17, 2019030718,   , BEST,   0, 283S,  669E,  55,  982, TS,  50, NEQ,   85,   85,   85,   50, 1006,  230,  40,   0,   0,   S,   0,    ,   0,   0,      HALEH, D, 
SH, 17, 2019030800,   , BEST,   0, 296S,  662E,  50,  983, TS,  34, NEQ,  160,  225,  215,  115, 1005,  220,  40,   0,   0,   S,   0,    ,   0,   0,      HALEH, M, 
SH, 17, 2019030806,   , BEST,   0, 310S,  659E,  45,  986, TS,  34, NEQ,  165,  230,  210,  110, 1006,  205,  80,   0,   0,   S,   0,    ,   0,   0,      HALEH, M, 
SH, 17, 2019030812,   , BEST,   0, 322S,  655E,  45,  989, TS,  34, NEQ,  160,  235,  200,  105, 1006,  215,  80,   0,   0,   S,   0,    ,   0,   0,      HALEH, S, 
SH, 17, 2019030818,   , BEST,   0, 336S,  652E,  40,  993, SS,  34, NEQ,  200,  245,  175,  110, 1006,  220,  90,   0,   0,   S,   0,    ,   0,   0,      HALEH, S, 
SH, 17, 2019030900,   , BEST,   0, 352S,  650E,  35,  989, SS,  34, NEQ,  175,  235,  175,  135, 1008,  230,  90,   0,   0,   S,   0,    ,   0,   0,      HALEH, S, 
SH, 17, 2019030906,   , BEST,   0, 365S,  650E,  35,  988, SS,  34, NEQ,  170,  185,  175,    0, 1008,  230,  90,   0,   0,   S,   0,    ,   0,   0,      HALEH, S, 
SH, 17, 2019030912,   , BEST,   0, 377S,  661E,  40,  989, SS,  34, NEQ,  170,  170,  130,  130, 1008,  230,  90,   0,   0,   S,   0,    ,   0,   0,      HALEH, S, 
SH, 17, 2019030918,   , BEST,   0, 392S,  676E,  40,  989, SS,  34, NEQ,  120,  130,  110,  105, 1010,  260,  70,   0,   0,    ,   0,    ,   0,   0,      HALEH,  , 
