WP, 96, 2014072912,   , BEST,   0, 188N, 1317E,  20,  996, XX,  34, NEQ,    0,    0,    0,    0, 1008,  360, 150,   0,   0,   W,   0,   X, 325,   6,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014072918,   , BEST,   0, 199N, 1305E,  20,  996, XX,  34, NEQ,    0,    0,    0,    0, 1008,  360, 150,   0,   0,   W,   0,   X, 320,   8,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014073000,   , BEST,   0, 217N, 1307E,  20,  996, XX,  34, NEQ,    0,    0,    0,    0, 1004,  380, 150,   0,   0,   W,   0,   X, 350,  10,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014073006,   , BEST,   0, 230N, 1296E,  20,  996, XX,  34, NEQ,    0,    0,    0,    0, 1004,  360, 120,   0,   0,   W,   0,   X, 330,  13,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014073012,   , BEST,   0, 240N, 1286E,  20,  996, XX,  34, NEQ,    0,    0,    0,    0, 1004,  345, 120,   0,   0,   W,   0,   X, 325,  13,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014073018,   , BEST,   0, 247N, 1280E,  20,  996, XX,  34, NEQ,    0,    0,    0,    0, 1004,  345, 120,   0,   0,   W,   0,   X, 320,  12,     INVEST, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014073100,   , BEST,   0, 253N, 1272E,  20,  992, XX,  34, NEQ,    0,    0,    0,    0, 1008,  345, 120,   0,   0,   W,   0,   X, 315,  11,     INVEST, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014073106,   , BEST,   0, 260N, 1264E,  20,  990, XX,  34, NEQ,    0,    0,    0,    0, 1008,  325, 120,   0,   0,   W,   0,   X, 315,   9,     INVEST, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014073112,   , BEST,   0, 267N, 1263E,  20,  990, XX,  34, NEQ,    0,    0,    0,    0, 1008,  325, 120,   0,   0,   W,   0,   X, 325,   8,     INVEST, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014073118,   , BEST,   0, 274N, 1262E,  20,  990, XX,  34, NEQ,    0,    0,    0,    0, 1008,  325, 120,   0,   0,   W,   0,   X, 335,   8,     INVEST, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014080100,   , BEST,   0, 288N, 1270E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1008,  325, 120,   0,   0,   W,   0,   X,  10,  10,     INVEST, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014080106,   , BEST,   0, 300N, 1259E,  20,  987, XX,  34, NEQ,    0,    0,    0,    0,  997,  275, 120,   0,   0,   W,   0,   X, 355,  11,     INVEST, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014080112,   , BEST,   0, 305N, 1258E,  20,  989, XX,  34, NEQ,    0,    0,    0,    0,  997,  260, 100,   0,   0,   W,   0,   X, 350,  10,     INVEST, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014080118,   , BEST,   0, 313N, 1253E,  20,  980, XX,  34, NEQ,    0,    0,    0,    0, 1004,  260, 100,   0,   0,   W,   0,   X, 340,   9,     INVEST, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014080200,   , BEST,   0, 318N, 1239E,  20,  987, XX,  34, NEQ,    0,    0,    0,    0, 1004,  260, 100,   0,   0,   W,   0,   X, 315,   8,     INVEST, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014080206,   , BEST,   0, 327N, 1247E,  40,  993, XX,  34, NEQ,  180,  180,  180,  180, 1000,  260,  90,   0,   0,   W,   0,   X, 335,   8,     INVEST, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014091600,   , BEST,   0, 097N, 1388E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1010,  240,  45,   0,   0,   W,   0,   X, 230,  12,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014091606,   , BEST,   0, 123N, 1376E,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1006,  280,  45,   0,   0,   W,   0,   X, 290,  10,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014091612,   , BEST,   0, 130N, 1370E,  20, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1008,  280,  45,   0,   0,   W,   0,   X, 305,   9,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014091618,   , BEST,   0, 138N, 1365E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1005,  340,  45,   0,   0,   W,   0,   X, 320,  10,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014091700,   , BEST,   0, 141N, 1362E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1008,  340,  45,   0,   0,   W,   0,   X, 325,   8,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014091706,   , BEST,   0, 117N, 1328E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1007,  340,  45,   0,   0,   W,   0,   X, 255,  14,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014102818,   , BEST,   0, 131N, 1476E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 1010,  150,  40,   0,   0,   W,   0,   X, 280,  10,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014102900,   , BEST,   0, 123N, 1459E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 1010,  150,  40,   0,   0,   W,   0,   X, 265,  12,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014103006,   , BEST,   0, 130N, 1396E,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1007,  200,  40,   0,   0,   W,   0,   X, 280,  11,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014103012,   , BEST,   0, 127N, 1385E,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1007,  180,  40,   0,   0,   W,   0,   X, 270,  12,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014103018,   , BEST,   0, 130N, 1379E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1007,  170,  40,   0,   0,   W,   0,   X, 275,  11,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
