WP, 01, 2019011206,   , BEST,   0, 057N, 1577E,  20, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  150,  70,   0,   0,   W,   0,   X, 290,   4,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019011212,   , BEST,   0, 056N, 1573E,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1007,  150,  50,   0,   0,   W,   0,   X, 280,   4,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019011218,   , BEST,   0, 056N, 1585E,  15, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1007,  150,  50,   0,   0,   W,   0,   X,  25,   1,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019011300,   , BEST,   0, 058N, 1584E,  15, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1006,  150,  50,   0,   0,   W,   0,   X,    ,   1,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019011312,   , BEST,   0, 054N, 1573E,  20, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1004,  150,  50,   0,   0,   W,   0,   X, 270,   2,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019011318,   , BEST,   0, 054N, 1570E,  20, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1007,  150,  50,   0,   0,   W,   0,   X, 270,   2,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019011400,   , BEST,   0, 054N, 1559E,  20, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1007,  150,  50,   0,   0,   W,   0,   X, 270,   5,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019011500,   , BEST,   0, 046N, 1522E,  20, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  115,  50,   0,   0,   W,   0,   X, 275,   8,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019011506,   , BEST,   0, 047N, 1517E,  20, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  125,  35,   0,   0,   W,   0,   X, 275,   7,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019011512,   , BEST,   0, 048N, 1509E,  20, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  125,  35,   0,   0,   W,   0,   X, 280,   7,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019011518,   , BEST,   0, 052N, 1503E,  20, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1005,  130,  40,   0,   0,   W,   0,   X, 290,   7,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019011600,   , BEST,   0, 049N, 1497E,  20, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  130,  40,   0,   0,   W,   0,   X, 275,   7,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019011606,   , BEST,   0, 046N, 1492E,  20, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  135,  30,   0,   0,   W,   0,   X, 260,   6,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019011612,   , BEST,   0, 045N, 1484E,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1006,  175,  30,   0,   0,   W,   0,   X, 260,   7,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019011618,   , BEST,   0, 062N, 1480E,  20, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1006,  175,  30,   0,   0,   W,   0,   X, 310,   8,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019011706,   , BEST,   0, 058N, 1440E,  20, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1005,  175,  50,   0,   0,   W,   0,   X, 275,  11,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019011712,   , BEST,   0, 051N, 1428E,  20, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1005,  175,  50,   0,   0,   W,   0,   X, 260,  11,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019011718,   , BEST,   0, 051N, 1416E,  20, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1005,  170,  50,   0,   0,   W,   0,   X, 260,  12,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019011800,   , BEST,   0, 064N, 1386E,  20, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1007,  200,  70,   0,   0,   W,   0,   X, 280,  18,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019011806,   , BEST,   0, 065N, 1383E,  20, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1005,  135,  55,   0,   0,   W,   0,   X, 285,  14,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019011812,   , BEST,   0, 069N, 1380E,  20, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  135,  50,   0,   0,   W,   0,   X, 290,   8,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019011818,   , BEST,   0, 076N, 1370E,  20, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  145,  50,   0,   0,   W,   0,   X, 305,   7,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019011900,   , BEST,   0, 081N, 1353E,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1007,  150,  50,   0,   0,   W,   0,   X, 295,  11,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019011906,   , BEST,   0, 066N, 1321E,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1007,  150,  50,   0,   0,   W,   0,   X, 270,  15,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019011912,   , BEST,   0, 067N, 1316E,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1007,  160,  40,   0,   0,   W,   0,   X, 275,  10,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019011918,   , BEST,   0, 070N, 1307E,  20, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  140,  40,   0,   0,   W,   0,   X, 280,   8,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019012000,   , BEST,   0, 083N, 1283E,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1008,  175,  40,   0,   0,   W,   0,   X, 295,  15,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019012006,   , BEST,   0, 092N, 1269E,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1008,  160,  45,   0,   0,   W,   0,   X, 300,  17,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019012012,   , BEST,   0, 093N, 1254E,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1008,  155,  45,   0,   0,   W,   0,   X, 295,  18,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019012018,   , BEST,   0, 112N, 1258E,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1008,  155,  45,   0,   0,   W,   0,   X, 320,  13,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019012100,   , BEST,   0, 119N, 1254E,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1007,   90,  45,   0,   0,   W,   0,   X, 330,  11,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019012106,   , BEST,   0, 124N, 1250E,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1007,   90,  45,   0,   0,   W,   0,   X, 330,  10,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019012112,   , BEST,   0, 132N, 1249E,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1007,   90,  45,   0,   0,   W,   0,   X, 335,   7,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019012118,   , BEST,   0, 135N, 1257E,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1007,   90,  45,   0,   0,   W,   0,   X, 340,   7,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
WP, 01, 2019012200,   , BEST,   0, 135N, 1261E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1008,   80,  45,   0,   0,   W,   0,   X, 355,   5,        ONE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP012019, JTWC, NCEP_TCVITALS, 
